PIMEMU_BEGIN,	20173,	0
PIMEMU_END,	20173,	1
PIMEMU_BEGIN,	20173,	1
PT_LAUNCH,	20173,	2,	2826508032
PT_START,	20175,	0,	20173,	2,	2826508032
PT_LAUNCH_PIM,	20173,	2,	0
PT_LAUNCH,	20173,	3,	2816018176
PT_LAUNCH_PIM,	20173,	3,	1
PT_START,	20176,	0,	20173,	3,	2816018176
PT_LAUNCH,	20173,	4,	2684352256
PT_START,	20177,	0,	20173,	4,	2684352256
PT_LAUNCH_PIM,	20173,	4,	2
PT_JOIN,	20173,	5,	2826508032
PT_EXIT,	20176,	1
PT_EXIT,	20177,	1
PT_EXIT,	20175,	1
PT_JOIN,	20173,	6,	2816018176
PT_JOIN,	20173,	7,	2684352256
PIMEMU_END,	20173,	8
PIMEMU_BEGIN,	20173,	8
PIMEMU_END,	20173,	9
PIMEMU_BEGIN,	20173,	9
PT_LAUNCH,	20173,	10,	2684352256
PT_START,	20191,	0,	20173,	10,	2684352256
PT_LAUNCH_PIM,	20173,	10,	1
PT_LAUNCH,	20173,	11,	2816018176
PT_LAUNCH_PIM,	20173,	11,	2
PT_JOIN,	20173,	12,	2684352256
PT_START,	20192,	0,	20173,	11,	2816018176
PT_EXIT,	20192,	1
PT_EXIT,	20191,	1
PT_JOIN,	20173,	13,	2816018176
PIMEMU_END,	20173,	14
PIMEMU_BEGIN,	20173,	14
