DeviceID, ThreadID, FunctionName, StartTime_ns, EndTime_ns
ehp-cpu0, 15404, NA, 0, 856750
ehp-cpu0, 15404, NA, 856750, 13025357
ehp-cpu0, 15404, NA, 13025357, 13106649
ehp-cpu0, 15404, NA, 13106649, 24430686
ehp-cpu0, 15404, NA, 24430686, 24511890
ehp-cpu0, 15404, NA, 24511890, 38370116
ehp-cpu0, 15404, NA, 38370116, 38394552
ehp-cpu0, 15404, NA, 38394552, 48718755
ehp-cpu0, 15404, NA, 48718755, 48743080
ehp-cpu0, 15404, NA, 48743080, 59952291
ehp-cpu0, 15404, NA, 59952291, 60033528
ehp-cpu0, 15404, NA, 60033528, 69643048
ehp-cpu0, 15404, NA, 69643048, 69667550
ehp-cpu0, 15404, NA, 69667550, 80876629
ehp-cpu0, 15404, NA, 80876629, 80929305
ehp-cpu0, 15404, NA, 80929305, 92281528
ehp-cpu0, 15404, NA, 92281528, 92305920
ehp-cpu0, 15404, NA, 92305920, 101915307
ehp-cpu0, 15404, NA, 101915307, 102346963
ehp-cpu0, 15404, NA, 102346963, 102393265
ehp-cpu0, 15404, NA, 102393265, 102749441
ehp-cpu0, 15404, NA, 102749441, 102774230
ehp-cpu0, 15404, NA, 102774230, 103045431
ehp-cpu0, 15404, NA, 103045431, 103070187
ehp-cpu0, 15404, NA, 103070187, 110191893
ehp-cpu0, 15404, NA, 110191893, 118328516
ehp-cpu0, 15404, NA, 118328516, 127270698
ehp-cpu0, 15404, NA, 127270698, 161797922
ehp-cpu0, 15404, NA, 161797922, 166895781
ehp-cpu0, 15404, NA, 166895781, 172393508
ehp-cpu0, 15404, NA, 172393508, 177172262
ehp-cpu0, 15404, NA, 177172262, 184823160
ehp-cpu0, 15404, NA, 184823160, 191359761
ehp-cpu0, 15404, NA, 191359761, 206214417
ehp-cpu0, 15404, NA, 206214417, 213483749
ehp-cpu0, 15404, NA, 213483749, 219210102
ehp-cpu0, 15404, NA, 219210102, 224103682
ehp-cpu0, 15404, NA, 224103682, 231297327
ehp-cpu0, 15404, NA, 231297327, 238176730
ehp-cpu0, 15404, NA, 238176730, 253888639
ehp-cpu0, 15404, NA, 253888639, 259186509
ehp-cpu0, 15404, NA, 259186509, 264284478
ehp-cpu0, 15404, NA, 264284478, 264336978
ehp-cpu0, 15404, NA, 264336978, 274818029
ehp-cpu0, 15404, NA, 274818029, 276997681

ehp-cpu1, NA, NA, NA, NA

ehp-cpu2, NA, NA, NA, NA

ehp-cpu3, NA, NA, NA, NA

ehp-gpu0, NA, NA, NA, NA

pim0-cpu0, NA, NA, NA, NA

pim0-cpu1, NA, NA, NA, NA

pim0-gpu0, 15407, hotspot_pim, 102347963, 119906595

pim1-cpu0, NA, NA, NA, NA

pim1-gpu0, 15408, hotspot_pim, 102750441, 119138498

pim2-cpu0, NA, NA, NA, NA

pim2-gpu0, 15409, hotspot_pim, 103046431, 119434488

Total runtime: 276997681
